sample,datatype
EXP21002563_Sample_01,GEX
EXP21002563_Sample_02,GEX
EXP21002563_Sample_03,GEX
EXP21002563_Sample_04,GEX
EXP21002563_Sample_05,GEX
EXP21002563_Sample_06,GEX
EXP21002563_Sample_07,GEX
EXP21002563_Sample_08,GEX
EXP21002563_Sample_01,TCR
EXP21002563_Sample_02,TCR
EXP21002563_Sample_03,TCR
EXP21002563_Sample_04,TCR
EXP21002563_Sample_05,TCR
EXP21002563_Sample_06,TCR
EXP21002563_Sample_07,TCR
EXP21002563_Sample_08,TCR
EXP21002563_Sample_05,TET
EXP21002563_Sample_06,TET
EXP21002563_Sample_07,TET
EXP21002563_Sample_08,TET
EXP21002563_Sample_05,ADTTOTALSEQC
EXP21002563_Sample_06,ADTTOTALSEQC
EXP21002563_Sample_07,ADTTOTALSEQC
EXP21002563_Sample_08,ADTTOTALSEQC
